LAXVEN speed Recorder File: 00022757000.ShortTerm Internal
Data Displayed     From     .86  -  1667Km    TO   19/03/25 07:18:36-127Km
0-Mem freez,1-PowerOn,2-DownLoad,3-MemErase,4-No CFCard,5-ExtMemFail,7-Sensor1Fail,8-Sensor2Fail
,9-ZeroSpeed,A-No Indi/Rec ,B-No Mem ,C-MemFull,D-110% Relay,E-105% Relay,F-OverSpeed,G-<3 Relay,H-CF Inserted,X-Unused
  Time	Distance	Speed	DB	DB	Coas	Coas	EventGn	RunE	StpE	TotE	CumEnry	Curr	Vol	 PF 
 19/03/25 15:58:23	7630.507	10	----	----	----	----	---------	21455.4	306.2	21761.6	116753.6	16	26.3	0.72
 19/03/25 15:58:24	7630.51	10	----	----	----	----	---------	21455.5	306.2	21761.7	116753.7	16	26.2	0.71
 19/03/25 15:58:25	7630.513	10	----	----	----	----	---------	21455.6	306.2	21761.8	116753.8	16	26.3	0.72
 19/03/25 15:58:26	7630.516	10	----	----	----	----	---------	21455.7	306.2	21761.9	116753.9	16	26.1	0.72
 19/03/25 15:58:27	7630.519	10	----	----	----	----	---------	21455.7	306.2	21761.9	116753.9	16	26.1	0.72
 19/03/25 15:58:28	7630.522	10	----	----	----	----	---------	21455.8	306.2	21762	116754	16	26.1	0.72
 19/03/25 15:58:29	7630.525	11	----	----	----	----	---------	21455.9	306.2	21762.1	116754.1	16	26.1	0.72
 19/03/25 15:58:30	7630.528	11	----	----	----	----	---------	21456	306.2	21762.2	116754.2	15	26.1	0.73
 19/03/25 15:58:31	7630.531	11	----	----	----	----	---------	21456.1	306.2	21762.3	116754.3	16	26.1	0.72
 19/03/25 15:58:32	7630.535	11	----	----	----	----	---------	21456.1	306.2	21762.3	116754.3	15	26.1	0.73
 19/03/25 15:58:33	7630.538	11	----	----	----	----	---------	21456.2	306.2	21762.4	116754.4	15	26.1	0.73
 19/03/25 15:58:34	7630.541	11	----	----	----	----	---------	21456.3	306.2	21762.5	116754.5	15	26.2	0.73
 19/03/25 15:58:35	7630.544	11	----	----	----	----	---------	21456.4	306.2	21762.6	116754.6	15	26.1	0.73
 19/03/25 15:58:36	7630.548	12	----	----	----	----	---------	21456.5	306.2	21762.7	116754.7	15	25.9	0.73
 19/03/25 15:58:37	7630.551	12	----	----	----	----	---------	21456.5	306.2	21762.7	116754.7	15	26.1	0.74
 19/03/25 15:58:38	7630.555	12	----	----	----	----	---------	21456.6	306.2	21762.8	116754.8	15	25.8	0.73
 19/03/25 15:58:39	7630.558	12	----	----	----	----	---------	21456.7	306.2	21762.9	116754.9	15	26	0.74
 19/03/25 15:58:40	7630.561	12	----	----	----	----	---------	21456.8	306.2	21763	116755	15	25.6	0.73
 19/03/25 15:58:41	7630.565	12	----	----	----	----	---------	21456.9	306.2	21763.1	116755.1	15	26	0.74
 19/03/25 15:58:42	7630.568	12	----	----	----	----	---------	21456.9	306.2	21763.1	116755.1	15	26.2	0.73
 19/03/25 15:58:43	7630.572	12	----	----	----	----	---------	21457	306.2	21763.2	116755.2	15	26.3	0.73
 19/03/25 15:58:44	7630.576	12	----	----	----	----	---------	21457.1	306.2	21763.3	116755.3	15	26.3	0.73
 19/03/25 15:58:45	7630.579	12	----	----	----	----	---------	21457.2	306.2	21763.4	116755.4	15	26.2	0.73
 19/03/25 15:58:46	7630.583	12	----	----	----	----	---------	21457.2	306.2	21763.4	116755.4	13	26.5	0.73
 19/03/25 15:58:47	7630.587	13	----	----	----	----	---------	21457.3	306.2	21763.5	116755.5	13	26.4	0.72
 19/03/25 15:58:48	7630.59	13	----	----	----	----	---------	21457.4	306.2	21763.6	116755.6	13	26.2	0.73
 19/03/25 15:58:49	7630.594	13	----	----	----	----	---------	21457.5	306.2	21763.7	116755.7	13	26.5	0.73
 19/03/25 15:58:50	7630.598	13	----	----	----	----	---------	21457.5	306.2	21763.7	116755.7	13	26.5	0.73
 19/03/25 15:58:51	7630.602	13	----	----	----	----	---------	21457.6	306.2	21763.8	116755.8	13	26.5	0.73
 19/03/25 15:58:52	7630.605	13	----	----	----	----	---------	21457.7	306.2	21763.9	116755.9	13	26.6	0.73
 19/03/25 15:58:53	7630.609	13	----	----	----	----	---------	21457.7	306.2	21763.9	116755.9	13	26.5	0.73
 19/03/25 15:58:54	7630.613	13	----	----	----	----	---------	21457.8	306.2	21764	116756	13	26.7	0.73
 19/03/25 15:58:55	7630.617	14	----	----	----	----	---------	21457.9	306.2	21764.1	116756.1	10	26.3	0.72
 19/03/25 15:58:56	7630.621	13	----	----	----	----	---------	21457.9	306.2	21764.1	116756.1	10	26.3	0.71
 19/03/25 15:58:57	7630.625	14	----	----	----	----	---------	21458	306.2	21764.2	116756.2	10	26.2	0.72
 19/03/25 15:58:58	7630.629	14	----	----	----	----	---------	21458	306.2	21764.2	116756.2	10	26.3	0.72
 19/03/25 15:58:59	7630.632	13	----	----	----	----	---------	21458.1	306.2	21764.3	116756.3	10	26.3	0.72
 19/03/25 15:59:00	7630.636	14	----	----	----	----	---------	21458.1	306.2	21764.3	116756.3	10	26.2	0.72
 19/03/25 15:59:01	7630.64	14	----	----	----	----	---------	21458.2	306.2	21764.4	116756.4	8	26.6	0.7
 19/03/25 15:59:02	7630.644	14	----	----	0	0	---------	21458.2	306.2	21764.4	116756.4	4	26.6	0.58
 19/03/25 15:59:03	7630.648	13	----	----	0	1	---------	21458.2	306.2	21764.4	116756.4	4	26.7	0.53
 19/03/25 15:59:04	7630.652	13	----	----	0.01	2	---------	21458.2	306.2	21764.4	116756.4	4	26.9	0.53
 19/03/25 15:59:05	7630.656	13	----	----	0.01	3	---------	21458.2	306.2	21764.4	116756.4	4	27	0.53
 19/03/25 15:59:06	7630.66	13	----	----	----	----	---------	21458.3	306.2	21764.5	116756.5	7	26.8	0.67
 19/03/25 15:59:07	7630.663	13	----	----	----	----	---------	21458.3	306.2	21764.5	116756.5	5	26.8	0.6
 19/03/25 15:59:08	7630.667	13	----	----	----	----	---------	21458.3	306.2	21764.5	116756.5	5	26.8	0.62
 19/03/25 15:59:09	7630.671	13	----	----	----	----	---------	21458.3	306.2	21764.5	116756.5	6	26.9	0.62
 19/03/25 15:59:10	7630.675	13	----	----	----	----	---------	21458.4	306.2	21764.6	116756.6	8	26.6	0.71
 19/03/25 15:59:11	7630.679	13	----	----	----	----	---------	21458.4	306.2	21764.6	116756.6	8	26.7	0.67
 19/03/25 15:59:12	7630.682	13	----	----	----	----	---------	21458.5	306.2	21764.7	116756.7	8	26.6	0.68
 19/03/25 15:59:13	7630.686	13	----	----	----	----	---------	21458.5	306.2	21764.7	116756.7	11	26.6	0.74
 19/03/25 15:59:14	7630.69	13	----	----	----	----	---------	21458.6	306.2	21764.8	116756.8	11	26.5	0.71
 19/03/25 15:59:15	7630.694	13	----	----	----	----	---------	21458.6	306.2	21764.8	116756.8	11	26.6	0.72
 19/03/25 15:59:16	7630.697	13	----	----	----	----	---------	21458.7	306.2	21764.9	116756.9	11	26.5	0.71
 19/03/25 15:59:17	7630.701	13	----	----	----	----	---------	21458.8	306.2	21765	116757	14	26.4	0.75
 19/03/25 15:59:18	7630.705	13	----	----	----	----	---------	21458.8	306.2	21765	116757	13	26.3	0.73
 19/03/25 15:59:19	7630.709	13	----	----	----	----	---------	21458.9	306.2	21765.1	116757.1	13	26.1	0.73
 19/03/25 15:59:20	7630.712	13	----	----	----	----	---------	21459	306.2	21765.2	116757.2	13	26.3	0.73
 19/03/25 15:59:21	7630.716	13	----	----	----	----	---------	21459	306.2	21765.2	116757.2	13	26.3	0.73
 19/03/25 15:59:22	7630.72	13	----	----	----	----	---------	21459.1	306.2	21765.3	116757.3	13	26.3	0.73
 19/03/25 15:59:23	7630.724	14	----	----	----	----	---------	21459.2	306.2	21765.4	116757.4	17	26.2	0.76
 19/03/25 15:59:24	7630.728	13	----	----	----	----	---------	21459.3	306.2	21765.5	116757.5	17	26.4	0.74
 19/03/25 15:59:25	7630.732	14	----	----	----	----	---------	21459.4	306.2	21765.6	116757.6	16	26.3	0.74
 19/03/25 15:59:26	7630.736	14	----	----	----	----	---------	21459.5	306.2	21765.7	116757.7	16	26.3	0.74
 19/03/25 15:59:27	7630.74	14	----	----	----	----	---------	21459.6	306.2	21765.8	116757.8	16	26.3	0.74
 19/03/25 15:59:28	7630.744	14	----	----	----	----	---------	21459.6	306.2	21765.8	116757.8	16	26.3	0.74
 19/03/25 15:59:29	7630.748	14	----	----	----	----	---------	21459.7	306.2	21765.9	116757.9	16	26.4	0.74
 19/03/25 15:59:30	7630.752	14	----	----	----	----	---------	21459.8	306.2	21766	116758	16	26.2	0.74
 19/03/25 15:59:31	7630.756	14	----	----	----	----	---------	21459.9	306.2	21766.1	116758.1	16	26.2	0.74
 19/03/25 15:59:32	7630.76	14	----	----	----	----	---------	21460	306.2	21766.2	116758.2	16	26	0.74
 19/03/25 15:59:33	7630.764	14	----	----	----	----	---------	21460.1	306.2	21766.3	116758.3	16	26.1	0.75
 19/03/25 15:59:34	7630.768	15	----	----	----	----	---------	21460.2	306.2	21766.4	116758.4	16	26.1	0.75
 19/03/25 15:59:35	7630.773	14	----	----	----	----	---------	21460.2	306.2	21766.4	116758.4	16	26.2	0.75
 19/03/25 15:59:36	7630.777	15	----	----	----	----	---------	21460.3	306.2	21766.5	116758.5	13	26.2	0.75
 19/03/25 15:59:37	7630.781	15	----	----	----	----	---------	21460.4	306.2	21766.6	116758.6	14	26.3	0.74
 19/03/25 15:59:38	7630.785	15	----	----	----	----	---------	21460.5	306.2	21766.7	116758.7	12	26.5	0.76
 19/03/25 15:59:39	7630.79	15	----	----	----	----	---------	21460.5	306.2	21766.7	116758.7	8	26.5	0.66
 19/03/25 15:59:40	7630.794	15	----	----	----	----	---------	21460.5	306.2	21766.7	116758.7	9	26.5	0.7
 19/03/25 15:59:41	7630.798	15	----	----	----	----	---------	21460.6	306.2	21766.8	116758.8	8	26.4	0.71
 19/03/25 15:59:42	7630.803	15	----	----	----	----	---------	21460.6	306.2	21766.8	116758.8	8	26.3	0.69
 19/03/25 15:59:43	7630.807	14	----	----	----	----	---------	21460.7	306.2	21766.9	116758.9	8	26.3	0.71
 19/03/25 15:59:44	7630.811	15	----	----	----	----	---------	21460.7	306.2	21766.9	116758.9	8	26.4	0.7
 19/03/25 15:59:45	7630.815	14	----	----	----	----	---------	21460.8	306.2	21767	116759	9	26.7	0.69
 19/03/25 15:59:46	7630.819	15	----	----	----	----	---------	21460.8	306.2	21767	116759	8	26.6	0.7
 19/03/25 15:59:47	7630.824	14	----	----	----	----	---------	21460.8	306.2	21767	116759	9	26.6	0.69
 19/03/25 15:59:48	7630.828	14	----	----	----	----	---------	21460.9	306.2	21767.1	116759.1	9	26.5	0.7
 19/03/25 15:59:49	7630.832	14	----	----	----	----	---------	21460.9	306.2	21767.1	116759.1	8	26.6	0.7
 19/03/25 15:59:50	7630.836	14	----	----	----	----	---------	21461	306.2	21767.2	116759.2	9	26.6	0.69
 19/03/25 15:59:51	7630.84	14	----	----	----	----	---------	21461	306.2	21767.2	116759.2	12	26.6	0.76
 19/03/25 15:59:52	7630.844	14	----	----	----	----	---------	21461.1	306.2	21767.3	116759.3	11	26.5	0.72
 19/03/25 15:59:53	7630.849	14	----	----	----	----	---------	21461.2	306.2	21767.4	116759.4	12	26.5	0.72
 19/03/25 15:59:54	7630.853	14	----	----	----	----	---------	21461.2	306.2	21767.4	116759.4	11	26.6	0.73
 19/03/25 15:59:55	7630.857	14	----	----	----	----	---------	21461.3	306.2	21767.5	116759.5	11	26.7	0.72
 19/03/25 15:59:56	7630.861	14	----	----	----	----	---------	21461.3	306.2	21767.5	116759.5	12	26.7	0.72
 19/03/25 15:59:57	7630.865	14	----	----	----	----	---------	21461.4	306.2	21767.6	116759.6	11	26.7	0.73
 19/03/25 15:59:58	7630.869	14	----	----	----	----	---------	21461.5	306.2	21767.7	116759.7	11	26.7	0.72
 19/03/25 15:59:59	7630.874	14	----	----	----	----	---------	21461.5	306.2	21767.7	116759.7	12	26.7	0.73
 19/03/25 16:00:00	7630.878	15	----	----	----	----	---------	21461.6	306.2	21767.8	116759.8	11	26.4	0.73
 19/03/25 16:00:01	7630.882	14	----	----	----	----	---------	21461.6	306.2	21767.8	116759.8	11	26.6	0.71
 19/03/25 16:00:02	7630.886	15	----	----	----	----	---------	21461.7	306.2	21767.9	116759.9	11	26.5	0.73
 19/03/25 16:00:03	7630.891	15	----	----	----	----	---------	21461.8	306.2	21768	116760	11	26.7	0.73
 19/03/25 16:00:04	7630.895	15	----	----	----	----	---------	21461.8	306.2	21768	116760	12	26.7	0.72
 19/03/25 16:00:05	7630.899	15	----	----	----	----	---------	21461.9	306.2	21768.1	116760.1	10	26.8	0.71
 19/03/25 16:00:06	7630.903	15	----	----	----	----	---------	21461.9	306.2	21768.1	116760.1	10	26.8	0.72
 19/03/25 16:00:07	7630.908	15	----	----	----	----	---------	21462	306.2	21768.2	116760.2	7	26.9	0.7
 19/03/25 16:00:08	7630.912	15	----	----	----	----	---------	21462	306.2	21768.2	116760.2	7	27.1	0.68
 19/03/25 16:00:09	7630.916	15	----	----	----	----	---------	21462	306.2	21768.2	116760.2	7	26.9	0.68
 19/03/25 16:00:10	7630.921	15	----	----	----	----	---------	21462.1	306.2	21768.3	116760.3	7	26.8	0.68
 19/03/25 16:00:11	7630.925	15	----	----	----	----	---------	21462.1	306.2	21768.3	116760.3	7	26.8	0.68
 19/03/25 16:00:12	7630.929	15	----	----	----	----	---------	21462.1	306.2	21768.3	116760.3	7	27	0.68
 19/03/25 16:00:13	7630.934	15	----	----	----	----	---------	21462.2	306.2	21768.4	116760.4	7	26.9	0.68
 19/03/25 16:00:14	7630.938	15	----	----	----	----	---------	21462.2	306.2	21768.4	116760.4	7	27	0.68
 19/03/25 16:00:15	7630.942	15	----	----	----	----	---------	21462.3	306.2	21768.5	116760.5	7	26.9	0.68
 19/03/25 16:00:16	7630.946	15	----	----	----	----	---------	21462.3	306.2	21768.5	116760.5	7	26.8	0.68
 19/03/25 16:00:17	7630.951	15	----	----	----	----	---------	21462.3	306.2	21768.5	116760.5	7	26.6	0.67
 19/03/25 16:00:18	7630.955	15	----	----	----	----	---------	21462.4	306.2	21768.6	116760.6	7	26.7	0.69
 19/03/25 16:00:19	7630.959	15	----	----	----	----	---------	21462.4	306.2	21768.6	116760.6	7	27.2	0.68
 19/03/25 16:00:20	7630.964	15	----	----	----	----	---------	21462.4	306.2	21768.6	116760.6	7	26.9	0.68
 19/03/25 16:00:21	7630.968	15	----	----	----	----	---------	21462.5	306.2	21768.7	116760.7	7	26.9	0.68
 19/03/25 16:00:22	7630.972	15	----	----	----	----	---------	21462.5	306.2	21768.7	116760.7	7	26.8	0.68
 19/03/25 16:00:23	7630.976	15	----	----	----	----	---------	21462.5	306.2	21768.7	116760.7	7	26.7	0.68
 19/03/25 16:00:24	7630.981	15	----	----	----	----	---------	21462.6	306.2	21768.8	116760.8	7	26.6	0.69
 19/03/25 16:00:25	7630.985	15	----	----	----	----	---------	21462.6	306.2	21768.8	116760.8	7	26.7	0.68
 19/03/25 16:00:26	7630.989	15	----	----	----	----	---------	21462.6	306.2	21768.8	116760.8	7	26.7	0.69
 19/03/25 16:00:27	7630.993	14	----	----	----	----	---------	21462.7	306.2	21768.9	116760.9	7	26.6	0.69
 19/03/25 16:00:28	7630.998	15	----	----	----	----	---------	21462.7	306.2	21768.9	116760.9	7	26.7	0.68
 19/03/25 16:00:29	7631.002	15	----	----	----	----	---------	21462.7	306.2	21768.9	116760.9	7	26.8	0.69
 19/03/25 16:00:30	7631.006	14	----	----	----	----	---------	21462.8	306.2	21769	116761	7	26.7	0.68
 19/03/25 16:00:31	7631.01	15	----	----	----	----	---------	21462.8	306.2	21769	116761	7	26.6	0.68
 19/03/25 16:00:32	7631.015	14	----	----	----	----	---------	21462.9	306.2	21769.1	116761.1	7	26.7	0.68
 19/03/25 16:00:33	7631.019	15	----	----	----	----	---------	21462.9	306.2	21769.1	116761.1	7	26.7	0.68
 19/03/25 16:00:34	7631.023	14	----	----	----	----	---------	21462.9	306.2	21769.1	116761.1	7	26.9	0.68
 19/03/25 16:00:35	7631.027	15	----	----	----	----	---------	21463	306.2	21769.2	116761.2	7	26.8	0.68
 19/03/25 16:00:36	7631.032	15	----	----	----	----	---------	21463	306.2	21769.2	116761.2	7	26.8	0.68
 19/03/25 16:00:37	7631.036	15	----	----	----	----	---------	21463	306.2	21769.2	116761.2	7	26.8	0.68
 19/03/25 16:00:38	7631.04	14	----	----	----	----	---------	21463.1	306.2	21769.3	116761.3	7	26.8	0.68
 19/03/25 16:00:39	7631.044	15	----	----	----	----	---------	21463.1	306.2	21769.3	116761.3	7	26.8	0.68
 19/03/25 16:00:40	7631.049	15	----	----	----	----	---------	21463.1	306.2	21769.3	116761.3	7	26.8	0.68
 19/03/25 16:00:41	7631.053	15	----	----	----	----	---------	21463.2	306.2	21769.4	116761.4	7	26.9	0.68
 19/03/25 16:00:42	7631.057	15	----	----	----	----	---------	21463.2	306.2	21769.4	116761.4	7	26.9	0.68
 19/03/25 16:00:43	7631.061	15	----	----	----	----	---------	21463.2	306.2	21769.4	116761.4	7	26.8	0.68
 19/03/25 16:00:44	7631.066	15	----	----	----	----	---------	21463.3	306.2	21769.5	116761.5	7	26.8	0.68
 19/03/25 16:00:45	7631.07	15	----	----	----	----	---------	21463.3	306.2	21769.5	116761.5	7	26.8	0.68
 19/03/25 16:00:46	7631.074	15	----	----	----	----	---------	21463.3	306.2	21769.5	116761.5	7	26.9	0.68
 19/03/25 16:00:47	7631.079	15	----	----	----	----	---------	21463.4	306.2	21769.6	116761.6	7	27	0.68
 19/03/25 16:00:48	7631.083	15	----	----	----	----	---------	21463.4	306.2	21769.6	116761.6	7	26.9	0.68
 19/03/25 16:00:49	7631.087	15	----	----	----	----	---------	21463.5	306.2	21769.7	116761.7	8	26.7	0.7
 19/03/25 16:00:50	7631.092	15	----	----	----	----	---------	21463.5	306.2	21769.7	116761.7	8	26.4	0.68
 19/03/25 16:00:51	7631.096	15	----	----	----	----	---------	21463.5	306.2	21769.7	116761.7	8	26.6	0.69
 19/03/25 16:00:52	7631.1	15	----	----	----	----	---------	21463.6	306.2	21769.8	116761.8	8	26.7	0.69
 19/03/25 16:00:53	7631.105	15	----	----	----	----	---------	21463.6	306.2	21769.8	116761.8	8	26.8	0.69
 19/03/25 16:00:54	7631.109	15	----	----	----	----	---------	21463.7	306.2	21769.9	116761.9	9	26.6	0.68
 19/03/25 16:00:55	7631.114	15	----	----	----	----	---------	21463.7	306.2	21769.9	116761.9	8	26.7	0.71
 19/03/25 16:00:56	7631.118	15	----	----	----	----	---------	21463.7	306.2	21769.9	116761.9	6	26.6	0.66
 19/03/25 16:00:57	7631.122	15	----	----	0	0	---------	21463.8	306.2	21770	116762	5	26.7	0.65
 19/03/25 16:00:58	7631.127	15	----	----	0.01	1	---------	21463.8	306.2	21770	116762	5	26.8	0.59
 19/03/25 16:00:59	7631.131	15	----	----	0.01	2	---------	21463.8	306.2	21770	116762	5	26.9	0.56
 19/03/25 16:01:00	7631.135	15	----	----	0.01	3	---------	21463.8	306.2	21770	116762	5	26.9	0.57
 19/03/25 16:01:01	7631.14	15	----	----	0.02	4	---------	21463.8	306.2	21770	116762	5	26.7	0.59
 19/03/25 16:01:02	7631.144	15	----	----	0.02	5	---------	21463.9	306.2	21770.1	116762.1	5	26.7	0.56
 19/03/25 16:01:03	7631.148	15	----	----	0.03	6	---------	21463.9	306.2	21770.1	116762.1	5	26.6	0.57
 19/03/25 16:01:04	7631.153	15	----	----	0.03	7	---------	21463.9	306.2	21770.1	116762.1	5	26.8	0.59
 19/03/25 16:01:05	7631.157	15	----	----	0.03	8	---------	21463.9	306.2	21770.1	116762.1	5	26.9	0.57
 19/03/25 16:01:06	7631.161	15	----	----	0.04	9	---------	21464	306.2	21770.2	116762.2	5	27	0.56
 19/03/25 16:01:07	7631.166	15	----	----	0.04	10	---------	21464	306.2	21770.2	116762.2	5	27	0.58
 19/03/25 16:01:08	7631.17	15	----	----	0.05	11	---------	21464	306.2	21770.2	116762.2	5	27	0.57
 19/03/25 16:01:09	7631.174	15	----	----	0.05	12	---------	21464	306.2	21770.2	116762.2	5	27	0.56
 19/03/25 16:01:10	7631.179	15	----	----	0.06	13	---------	21464	306.2	21770.2	116762.2	5	26.9	0.58
 19/03/25 16:01:11	7631.183	15	----	----	0.06	14	---------	21464.1	306.2	21770.3	116762.3	5	27	0.58
 19/03/25 16:01:12	7631.187	15	----	----	0.06	15	---------	21464.1	306.2	21770.3	116762.3	5	27	0.56
 19/03/25 16:01:13	7631.192	15	----	----	0.07	16	---------	21464.1	306.2	21770.3	116762.3	5	27.2	0.58
 19/03/25 16:01:14	7631.196	15	----	----	0.07	17	---------	21464.1	306.2	21770.3	116762.3	5	27	0.58
 19/03/25 16:01:15	7631.2	15	----	----	0.08	18	---------	21464.1	306.2	21770.3	116762.3	5	27	0.56
 19/03/25 16:01:16	7631.205	15	----	----	0.08	19	---------	21464.2	306.2	21770.4	116762.4	5	26.9	0.58
 19/03/25 16:01:17	7631.209	15	----	----	0.09	20	---------	21464.2	306.2	21770.4	116762.4	5	27	0.58
 19/03/25 16:01:18	7631.213	15	----	----	0.09	21	---------	21464.2	306.2	21770.4	116762.4	5	27.2	0.57
 19/03/25 16:01:19	7631.217	15	----	----	0.09	22	---------	21464.2	306.2	21770.4	116762.4	5	27.1	0.57
 19/03/25 16:01:20	7631.222	15	----	----	0.1	23	---------	21464.3	306.2	21770.5	116762.5	5	27	0.59
 19/03/25 16:01:21	7631.226	15	----	----	0.1	24	---------	21464.3	306.2	21770.5	116762.5	5	27	0.57
 19/03/25 16:01:22	7631.23	15	----	----	0.11	25	---------	21464.3	306.2	21770.5	116762.5	5	27	0.56
 19/03/25 16:01:23	7631.235	15	----	----	0.11	26	---------	21464.3	306.2	21770.5	116762.5	4	27.1	0.57
 19/03/25 16:01:24	7631.239	15	----	----	0.12	27	---------	21464.3	306.2	21770.5	116762.5	4	27.2	0.51
 19/03/25 16:01:25	7631.243	15	----	----	0.12	28	---------	21464.3	306.2	21770.5	116762.5	4	27.2	0.52
 19/03/25 16:01:26	7631.248	15	----	----	0.13	29	---------	21464.4	306.2	21770.6	116762.6	4	27	0.51
 19/03/25 16:01:27	7631.252	15	----	----	0.13	30	---------	21464.4	306.2	21770.6	116762.6	4	27	0.52
 19/03/25 16:01:28	7631.256	15	----	----	0.13	31	---------	21464.4	306.2	21770.6	116762.6	4	27	0.52
 19/03/25 16:01:29	7631.261	15	----	----	0.14	32	---------	21464.4	306.2	21770.6	116762.6	4	27.2	0.52
 19/03/25 16:01:30	7631.265	15	----	----	0.14	33	---------	21464.4	306.2	21770.6	116762.6	4	27.1	0.52
